_id,hilo,posicion_hilo,id,emocion,puntaje_sigmoideo,total_rt,total_fav,total_hashtags,aporte_rt,aporte_fav,progreso_hilo
ObjectId("5d3257e36b361d2ed051d09a"),374,7,1078810480913858560,Fear,0.9,6,9,0,0.018,0.016,23
ObjectId("5d3257e36b361d2ed051d09b"),374,6,1078810299854176256,Joy,0.9,7,13,0,0.021,0.023,20
ObjectId("5d3257e36b361d2ed051d09c"),374,5,1078810178924003331,Joy,0.9,9,19,0,0.028,0.034,17
ObjectId("5d3257e36b361d2ed051d09d"),374,4,1078810123873734658,Fear,0.9,6,13,0,0.018,0.023,14
ObjectId("5d3257e36b361d2ed051d09e"),374,3,1078810066319560706,Joy,0.9,8,14,0,0.024,0.025,11
ObjectId("5d3257e36b361d2ed051d09f"),374,2,1078809997369270272,Joy,0.9,7,15,0,0.021,0.027,7
ObjectId("5d3257e36b361d2ed051d0a0"),374,1,1078809906281627648,Fear,0.9,8,16,0,0.024,0.029,4
ObjectId("5d3257e36b361d2ed051d0a1"),374,0,1078809658188550144,Surprise,0.9,113,144,0,0.346,0.257,1
ObjectId("5d3257e36b361d2ed051d0a2"),184,12,1139747752173170690,Fear,0.8,1735,14247,0,0.093,0.143,100
ObjectId("5d3257e36b361d2ed051d0a3"),184,11,1139747575278403586,Surprise,0.8,644,4900,0,0.035,0.049,92
ObjectId("5d3257e36b361d2ed051d0a4"),184,10,1139747300044001281,Fear,0.8,622,4734,0,0.033,0.048,84
ObjectId("5d3257e36b361d2ed051d0a5"),184,9,1139747185480744960,Fear,0.8,694,5161,0,0.037,0.052,75
ObjectId("5d3257e36b361d2ed051d0a6"),184,8,1139747055344033792,Fear,0.8,755,5738,0,0.041,0.058,67
ObjectId("5d3257e36b361d2ed051d0a7"),184,7,1139746729551466496,Fear,0.8,792,5669,0,0.043,0.057,59
ObjectId("5d3257e36b361d2ed051d0a8"),184,6,1139746590044741632,Joy,0.8,664,5044,0,0.036,0.051,50
ObjectId("5d3257e36b361d2ed051d0a9"),184,5,1139746329138094080,Fear,0.8,704,5428,0,0.038,0.055,42
ObjectId("5d3257e36b361d2ed051d0aa"),184,4,1139746203854204929,Anger,0.8,706,5221,0,0.038,0.053,34
