_id,hilo,topico,total_tweets,total_retweets,total_favoritos,promedio_rt,promedio_fv,total_hashtags,emocion_hilo_1,tupla_emocion_hilo,user_total_followers,user_puntaje_sigmo,user_verificado,log_prt,log_pfv,log_total_retweets,log_total_favoritos,rnd_user_puntaje_sigmo,log_user_total_followers
ObjectId("5d34a6786b361d34247c0d43"),333,4,25,5228,13425,209,537,0,Fear,Fear+Joy,125031,1.27649,false,2.322219294733919,2.7307822756663893,3.7184186418296554,4.127946642848902,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0d44"),56,0,7,1829,2988,261,427,1,Joy,Joy+Fear,57034,1.11892,true,2.4183012913197452,2.6314437690131722,3.2624510897304293,3.4755259150392805,1.1,4.7561414458832845
ObjectId("5d34a6786b361d34247c0d45"),374,7,32,326,559,10,17,0,Joy,Joy+Anger,62976,0.85793,false,1.0413926851582251,1.255272505103306,2.514547752660286,2.7481880270062002,0.9,4.799181968550801
ObjectId("5d34a6786b361d34247c0d46"),184,6,13,18573,99411,1429,7647,0,Fear,Fear+Joy,84490,0.83775,false,3.155336037465062,3.883547879268044,4.268905441212015,4.997438811150117,0.8,4.926810450269161
ObjectId("5d34a6786b361d34247c0d47"),84,4,8,95,107,12,13,23,Joy,Joy+Fear,11222,0.93076,false,1.1139433523068367,1.146128035678238,1.9822712330395684,2.03342375548695,0.9,4.050108962917868
ObjectId("5d34a6786b361d34247c0d48"),29,4,5,172,1136,34,227,0,Joy,Joy+Fear,74840,1.14589,true,1.5440680443502757,2.357934847000454,2.2380461031287955,3.0557604646877348,1.1,4.874139581761971
ObjectId("5d34a6786b361d34247c0d49"),299,1,21,98,1400,5,67,1,Joy,Joy+Fear,635,0.71737,false,0.7781512503836436,1.8325089127062364,1.99563519459755,3.1464381352857744,0.7,2.803457115648414
ObjectId("5d34a6786b361d34247c0d4a"),347,4,26,28565,202280,1099,7780,0,Joy,Joy+Fear,420529,1.05023,true,3.041392685158225,3.8910354153153106,4.455849431858154,5.305955091951848,1.1,5.623796983177253
ObjectId("5d34a6786b361d34247c0d4b"),51,10,6,6389,24306,1065,4051,0,Joy,Joy+Fear,17888,1.03345,true,3.0277572046905536,3.607669436688243,3.8055008581584002,4.3857313609887845,1,4.252586064065402
ObjectId("5d34a6786b361d34247c0d4c"),386,7,39,2795,7174,72,184,1,Fear,Fear+Joy,30502,0.93533,false,1.863322860120456,2.2671717284030137,3.446537167073644,3.85582190540603,0.9,4.484342554736087
ObjectId("5d34a6786b361d34247c0d4d"),96,10,9,8400,28517,933,3169,0,Joy,Joy+Fear,2100,0.8596,false,2.9703468762300935,3.5010592622177517,3.9243309847086785,4.455119064678402,0.9,3.3224260524059526
ObjectId("5d34a6786b361d34247c0d4e"),91,13,8,186,766,23,96,0,Fear,Fear+Surprise,138231,1.25497,true,1.380211241711606,1.9867717342662448,2.271841606536499,2.884795363948981,1.3,5.140608591625051
ObjectId("5d34a6786b361d34247c0d4f"),80,0,8,226,1559,28,195,1,Joy,Joy+Fear,23229,1.25513,false,1.462397997898956,2.292256071356476,2.3560258571931225,3.1931245983544616,1.3,4.366049209800235
ObjectId("5d34a6786b361d34247c0d50"),304,4,22,711,1094,32,50,7,Joy,Joy+Fear,179735,0.96353,false,1.5185139398778875,1.7075701760979363,2.8524799936368566,3.0394141191761372,1,5.2546350722981074
ObjectId("5d34a6786b361d34247c0d51"),208,2,14,1315,1880,94,134,0,Fear,Fear+Disgust,9616,1.05243,false,1.9777236052888478,2.130333768495006,3.1192558892779365,3.274388795550379,1.1,3.983039616046102
