_id,hilo,posicion_hilo,id,emocion,puntaje_sigmoideo,total_rt,total_fav,total_hashtags,aporte_rt,aporte_fav,progreso_hilo,user_puntaje_sigmo,user_verificado,log_total_rt,log_total_fav,rnd_user_puntaje_sigmo,log_user_total_followers
ObjectId("5d34a6786b361d34247c0ebc"),188,6,1035221931899998209,Joy,0.83639,36,97,0,0.039,0.054,50,0.83639,false,1.568201724066995,1.9912260756924949,0.8,4.179379417881757
ObjectId("5d34a6786b361d34247c0ebd"),188,5,1035221823787548674,Disgust,0.83639,61,145,0,0.066,0.081,42,0.83639,false,1.792391689498254,2.164352855784437,0.8,4.179379417881757
ObjectId("5d34a6786b361d34247c0ebe"),188,4,1035221704535171073,Sadness,0.83639,29,76,0,0.031,0.042,34,0.83639,false,1.4771212547196624,1.8864907251724818,0.8,4.179379417881757
ObjectId("5d34a6786b361d34247c0ebf"),188,3,1035221593113415680,Joy,0.83639,42,105,0,0.045,0.059,26,0.83639,false,1.6334684555795864,2.0253058652647704,0.8,4.179379417881757
ObjectId("5d34a6786b361d34247c0ec0"),188,2,1035221420618522626,Joy,0.83639,43,98,1,0.047,0.055,18,0.83639,false,1.6434526764861874,1.99563519459755,0.8,4.179379417881757
ObjectId("5d34a6786b361d34247c0ec1"),188,1,1035221300074237953,Joy,0.83639,70,136,1,0.076,0.076,9,0.83639,false,1.8512583487190752,2.1367205671564067,0.8,4.179379417881757
ObjectId("5d34a6786b361d34247c0ec2"),188,0,1035221186123366400,Joy,0.83639,260,340,0,0.281,0.19,1,0.83639,false,2.416640507338281,2.5327543789924976,0.8,4.179379417881757
ObjectId("5d34a6786b361d34247c0ec3"),333,24,1131960552555712512,Fear,1.27649,103,351,0,0.02,0.026,100,1.27649,false,2.0170333392987803,2.546542663478131,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ec4"),333,23,1131960550685118465,Joy,1.27649,107,313,0,0.02,0.023,96,1.27649,false,2.03342375548695,2.496929648073215,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ec5"),333,22,1131917006591209473,Sadness,1.27649,253,625,0,0.048,0.047,92,1.27649,false,2.404833716619938,2.7965743332104296,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ec6"),333,21,1131917005433577472,Joy,1.27649,250,742,0,0.048,0.055,88,1.27649,false,2.399673721481038,2.8709888137605755,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ec7"),333,20,1131917004384940032,Joy,1.27649,210,626,0,0.04,0.047,84,1.27649,false,2.3242824552976926,2.7972675408307164,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ec8"),333,19,1131917003231498240,Joy,1.27649,282,704,0,0.054,0.052,79,1.27649,false,2.45178643552429,2.848189116991399,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ec9"),333,18,1131917002107424770,Joy,1.27649,290,688,0,0.055,0.051,75,1.27649,false,2.4638929889859074,2.8382192219076257,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0eca"),333,17,1131917001012776961,Joy,1.27649,225,620,0,0.043,0.046,71,1.27649,false,2.3541084391474008,2.79309160017658,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ecb"),333,16,1131916999750311936,Joy,1.27649,155,464,0,0.03,0.035,67,1.27649,false,2.1931245983544616,2.667452952889954,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ecc"),333,15,1131916998634496000,Surprise,1.27649,141,461,0,0.027,0.034,63,1.27649,false,2.1522883443830563,2.6646419755561257,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ecd"),333,14,1131916997355294720,Joy,1.27649,195,491,0,0.037,0.037,59,1.27649,false,2.292256071356476,2.69196510276736,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ece"),333,13,1131916996256436224,Anger,1.27649,115,392,0,0.022,0.029,55,1.27649,false,2.0644579892269186,2.5943925503754266,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ecf"),333,12,1131916995040022529,Joy,1.27649,122,412,0,0.023,0.031,50,1.27649,false,2.089905111439398,2.615950051656401,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ed0"),333,11,1131916994033459200,Surprise,1.27649,120,411,0,0.023,0.031,46,1.27649,false,2.0827853703164503,2.6148972160331345,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ed1"),333,10,1131916992884170753,Fear,1.27649,126,420,0,0.024,0.031,42,1.27649,false,2.103803720955957,2.6242820958356683,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ed2"),333,9,1131916991567224832,Surprise,1.27649,173,469,0,0.033,0.035,38,1.27649,false,2.2405492482826,2.6720978579357175,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ed3"),333,8,1131916990409596929,Joy,1.27649,125,444,0,0.024,0.033,34,1.27649,false,2.100370545117563,2.6483600109809315,1.3,5.09702117816689
ObjectId("5d34a6786b361d34247c0ed4"),333,7,1131916989310619648,Surprise,1.27649,142,464,0,0.027,0.035,30,1.27649,false,2.155336037465062,2.667452952889954,1.3,5.09702117816689
